,z0,tout,s,i,t1,t2,sp0,m,rh
1896,23.8895186973,1.74166666667,99.1666666667,13376.7141446,23.8895186973,23.8871443679,23.89,1.18103114901,0.0
1897,23.8905186937,1.78333333333,98.3333333333,13376.7141446,23.8905186937,23.8898879337,23.89,1.18103114901,0.0
1898,23.8901256325,1.825,97.5,13376.7141446,23.8901256325,23.8899252899,23.89,1.18103114901,0.0
1899,23.8898873084,1.86666666667,96.6666666667,13376.7141446,23.8898873084,23.8902912906,23.89,1.18103114901,0.0
1900,23.8899052237,1.90833333333,95.8333333333,13376.7141446,23.8899052237,23.890033262,23.89,1.18103114901,0.0
1901,23.8899331162,1.95,95.0,13376.7141446,23.8899331162,23.8893632947,23.89,1.18103114901,0.0
1902,23.8898060309,1.99166666667,91.5833333333,13376.7141446,23.8898060309,23.89001736,23.89,1.18103114901,0.0
1903,23.8905703393,2.03333333333,88.1666666667,13376.7141446,23.8905703393,23.8900264047,23.89,1.18103114901,0.0
1904,23.8904444005,2.075,84.75,13376.7141446,23.8904444005,23.8899457414,23.89,1.18103114901,0.0
1905,23.8901635269,2.11666666667,81.3333333333,13376.7141446,23.8901635269,23.8895871809,23.89,1.18103114901,0.0
1906,23.8903934244,2.15833333333,77.9166666667,13376.7141446,23.8903934244,23.8895594314,23.89,1.18103114901,0.0
1907,23.8901781053,2.2,74.5,13376.7141446,23.8901781053,23.8901608132,23.89,1.18103114901,0.0
1908,24.174294468,2.2,71.0833333333,13376.7141446,24.174294468,24.1640656538,24.18,1.18103114901,0.0
1909,24.1799134885,2.2,67.6666666667,13376.7141446,24.1799134885,24.1791635083,24.18,1.18103114901,0.0
1910,24.1805212862,2.2,64.25,13376.7141446,24.1805212862,24.1800391607,24.18,1.18103114901,0.0
1911,24.1798179949,2.2,60.8333333333,13376.7141446,24.1798179949,24.1799513575,24.18,1.18103114901,0.0
1912,24.1798985191,2.2,57.4166666667,13376.7141446,24.1798985191,24.1795970829,24.18,1.18103114901,0.0
1913,24.1801979334,2.2,54.0,13376.7141446,24.1801979334,24.1800746799,24.18,1.18103114901,0.0
1914,24.180010259,2.2,51.0833333333,13376.7141446,24.180010259,24.1803949111,24.18,1.18103114901,0.0
1915,24.1798906711,2.2,48.1666666667,13376.7141446,24.1798906711,24.1799132428,24.18,1.18103114901,0.0
1916,24.1801528026,2.2,45.25,13376.7141446,24.1801528026,24.179872605,24.18,1.18103114901,0.0
1917,24.1799815615,2.2,42.3333333333,13376.7141446,24.1799815615,24.1803376394,24.18,1.18103114901,0.0
1918,24.1805276277,2.2,39.4166666667,13376.7141446,24.1805276277,24.1801070018,24.18,1.18103114901,0.0
1919,24.1799927632,2.2,36.5,13376.7141446,24.1799927632,24.1801219981,24.18,1.18103114901,0.0
1920,24.3465756754,2.25,33.5833333333,13376.7141446,24.3465756754,24.3406612159,24.35,1.18103114901,0.0
1921,24.3505300892,2.3,30.6666666667,13376.7141446,24.3505300892,24.3488588791,24.35,1.18103114901,0.0
1922,24.3501696857,2.35,27.75,13376.7141446,24.3501696857,24.3503302608,24.35,1.18103114901,0.0
1923,24.3506164694,2.4,24.8333333333,13376.7141446,24.3506164694,24.3502525227,24.35,1.18103114901,0.0
1924,24.3501716438,2.45,21.9166666667,13376.7141446,24.3501716438,24.3498949042,24.35,1.18103114901,0.0
1925,24.3498001275,2.5,19.0,13376.7141446,24.3498001275,24.3503602701,24.35,1.18103114901,0.0
1926,24.3501211763,2.55,17.4166666667,13376.7141446,24.3501211763,24.3504188411,24.35,1.18103114901,0.0
1927,24.3498835973,2.6,15.8333333333,13376.7141446,24.3498835973,24.3499664512,24.35,1.18103114901,0.0
1928,24.3496969371,2.65,14.25,13376.7141446,24.3496969371,24.3500837479,24.35,1.18103114901,0.0
1929,24.3499872426,2.7,12.6666666667,13376.7141446,24.3499872426,24.3502412489,24.35,1.18103114901,0.0
1930,24.3501303858,2.75,0.0,13376.7141446,24.3501303858,24.3500313653,24.35,1.18103114901,0.0
1931,24.3497810782,2.8,0.0,13376.7141446,24.3497810782,24.3505381113,24.35,1.18103114901,0.0
1932,23.9544234867,2.75,0.0,8870.27943899,23.9544234867,24.0284975439,24.02,4.15965866223,0.0
1933,23.8435707175,2.7,0.0,8870.27943899,23.8435707175,24.0203323013,24.02,5.90515574506,0.0
1934,24.0165257342,2.65,0.0,8870.27943899,24.0165257342,24.0196604107,24.02,1.18103114901,2999.26083995
1935,24.020107033,2.6,0.0,8870.27943899,24.020107033,24.020128719,24.02,1.18103114901,0.0
1936,24.0196034009,2.55,0.0,8870.27943899,24.0196034009,24.0205799011,24.02,1.18103114901,0.0
1937,24.0205783059,2.5,0.0,8870.27943899,24.0205783059,24.019820292,24.02,1.18103114901,0.0
1938,24.0203573108,2.45,0.0,8870.27943899,24.0203573108,24.0199162168,24.02,1.18103114901,0.0
1939,24.0204583245,2.4,0.0,8870.27943899,24.0204583245,24.0200749287,24.02,1.18103114901,0.0
